# mN [MeV]	|U_muN|^2 (3)	|U_muN|^2 (50)	|U_eN|^2 (3)	|U_eN|^2 (50)
83.32	1.11582e-07	4.55533e-07	5.10241e-09	2.08305e-08
83.58	1.13001e-07	4.61325e-07	5.04925e-09	2.06135e-08
83.84	1.14473e-07	4.67334e-07	4.99685e-09	2.03995e-08
84.1	1.16001e-07	4.73571e-07	4.9452e-09	2.01887e-08
84.36	1.17587e-07	4.80046e-07	4.89428e-09	1.99808e-08
84.62	1.19234e-07	4.8677e-07	4.84409e-09	1.97759e-08
84.88	1.20944e-07	4.93754e-07	4.79462e-09	1.95739e-08
85.14	1.22722e-07	5.01011e-07	4.74584e-09	1.93748e-08
85.4	1.2457e-07	5.08553e-07	4.69776e-09	1.91785e-08
85.66	1.2649e-07	5.16395e-07	4.65036e-09	1.8985e-08
85.92	1.28488e-07	5.24551e-07	4.60363e-09	1.87943e-08
86.18	1.30567e-07	5.33037e-07	4.55757e-09	1.86062e-08
86.44	1.3273e-07	5.41869e-07	4.51215e-09	1.84208e-08
86.7	1.34983e-07	5.51066e-07	4.46738e-09	1.8238e-08
86.96	1.3733e-07	5.60647e-07	4.42323e-09	1.80578e-08
87.22	1.39776e-07	5.70631e-07	4.37971e-09	1.78801e-08
87.48	1.42326e-07	5.81042e-07	4.3368e-09	1.77049e-08
87.74	1.44986e-07	5.91902e-07	4.29449e-09	1.75322e-08
88	1.47762e-07	6.03236e-07	4.25278e-09	1.73619e-08
88.26	1.50661e-07	6.15072e-07	4.21165e-09	1.7194e-08
88.52	1.5369e-07	6.27438e-07	4.17109e-09	1.70284e-08
88.78	1.56857e-07	6.40365e-07	4.13111e-09	1.68652e-08
89.04	1.60169e-07	6.53888e-07	4.09168e-09	1.67042e-08
89.3	1.63636e-07	6.68043e-07	4.0528e-09	1.65455e-08
89.56	1.67268e-07	6.82867e-07	4.01447e-09	1.6389e-08
89.82	1.71074e-07	6.98405e-07	3.97667e-09	1.62347e-08
90.08	1.75065e-07	7.14701e-07	3.9394e-09	1.60825e-08
90.34	1.79255e-07	7.31805e-07	3.90264e-09	1.59325e-08
90.6	1.83656e-07	7.49771e-07	3.8664e-09	1.57845e-08
90.86	1.88282e-07	7.68657e-07	3.83066e-09	1.56386e-08
91.12	1.93149e-07	7.88527e-07	3.79541e-09	1.54947e-08
91.38	1.98274e-07	8.09449e-07	3.76066e-09	1.53528e-08
91.64	2.03675e-07	8.31501e-07	3.72639e-09	1.52129e-08
91.9	2.09374e-07	8.54764e-07	3.69259e-09	1.50749e-08
92.16	2.15391e-07	8.7933e-07	3.65926e-09	1.49389e-08
92.42	2.21751e-07	9.05296e-07	3.62639e-09	1.48047e-08
92.68	2.28482e-07	9.32774e-07	3.59397e-09	1.46723e-08
92.94	2.35612e-07	9.61882e-07	3.56201e-09	1.45418e-08
93.2	2.43174e-07	9.92754e-07	3.53048e-09	1.44131e-08
93.46	2.51204e-07	1.02554e-06	3.49939e-09	1.42862e-08
93.72	2.59742e-07	1.06039e-06	3.46873e-09	1.4161e-08
93.98	2.68832e-07	1.0975e-06	3.43849e-09	1.40376e-08
94.24	2.78523e-07	1.13706e-06	3.40867e-09	1.39158e-08
94.5	2.8887e-07	1.17931e-06	3.37926e-09	1.37958e-08
